Vp,Vp/Vs,Vs,Density,SF_Vp,SF_Vp/Vs,x(km),y(km),Depth(km_BSL),Latitude,Longitude,x_nztm,y_nztm
1.5,2.2,0.68,1.0,6.0,6.0,86.0,-1200.0,-15.0,-33.6523,-178.0712,2429220.0,6240417.0
1.5,2.2,0.68,1.0,6.0,6.0,90.0,-1200.0,-15.0,-33.6728,-178.0362,2432284.0,6237846.0
1.5,2.2,0.68,1.0,6.0,6.0,93.0,-1200.0,-15.0,-33.6882,-178.0099,2434583.0,6235918.0
1.5,2.2,0.68,1.0,6.0,6.0,97.0,-1200.0,-15.0,-33.7087,-177.9748,2437647.0,6233347.0
1.5,2.2,0.68,1.0,6.0,6.0,100.0,-1200.0,-15.0,-33.7241,-177.9485,2439945.0,6231418.0
1.5,2.2,0.68,1.0,6.0,6.0,104.0,-1200.0,-15.0,-33.7446,-177.9134,2443009.0,6228847.0
1.5,2.2,0.68,1.0,6.0,6.0,107.0,-1200.0,-15.0,-33.76,-177.8871,2445307.0,6226919.0
1.5,2.2,0.68,1.0,6.0,6.0,111.0,-1200.0,-15.0,-33.7804,-177.852,2448371.0,6224348.0
1.5,2.2,0.68,1.0,6.0,6.0,114.0,-1200.0,-15.0,-33.7958,-177.8256,2450669.0,6222419.0
1.5,2.2,0.68,1.0,6.0,6.0,118.0,-1200.0,-15.0,-33.8162,-177.7905,2453734.0,6219848.0
1.5,2.2,0.68,1.0,6.0,6.0,121.0,-1200.0,-15.0,-33.8315,-177.7641,2456032.0,6217920.0
1.5,2.2,0.68,1.0,6.0,6.0,127.0,-1200.0,-15.0,-33.8622,-177.7113,2460628.0,6214063.0
1.5,2.2,0.68,1.0,6.0,6.0,133.0,-1200.0,-15.0,-33.8928,-177.6585,2465224.0,6210206.0
1.5,2.2,0.68,1.0,6.0,6.0,139.0,-1200.0,-15.0,-33.9233,-177.6057,2469821.0,6206350.0
1.5,2.2,0.68,1.0,6.0,6.0,145.0,-1200.0,-15.0,-33.9539,-177.5528,2474417.0,6202493.0
1.5,2.2,0.68,1.0,6.0,6.0,152.0,-1200.0,-15.0,-33.9895,-177.4911,2479779.0,6197993.0
1.5,2.2,0.68,1.0,6.0,6.0,161.0,-1200.0,-15.0,-34.0352,-177.4116,2486674.0,6192208.0
1.5,2.2,0.68,1.0,6.0,6.0,173.0,-1200.0,-15.0,-34.096,-177.3056,2495866.0,6184495.0
1.5,2.2,0.68,1.0,6.0,6.0,187.0,-1200.0,-15.0,-34.1669,-177.1817,2506591.0,6175496.0
1.5,2.2,0.68,1.0,6.0,6.0,201.0,-1200.0,-15.0,-34.2375,-177.0576,2517315.0,6166497.0
1.5,2.2,0.68,1.0,6.0,6.0,216.0,-1200.0,-15.0,-34.3131,-176.9244,2528806.0,6156855.0
1.5,2.2,0.68,1.0,6.0,6.0,233.0,-1200.0,-15.0,-34.3985,-176.7732,2541829.0,6145928.0
1.5,2.2,0.68,1.0,6.0,6.0,250.0,-1200.0,-15.0,-34.4836,-176.6217,2554851.0,6135000.0
1.5,2.2,0.68,1.0,6.0,6.0,266.0,-1200.0,-15.0,-34.5635,-176.4789,2567108.0,6124716.0
1.5,2.2,0.68,1.0,6.0,6.0,283.0,-1200.0,-15.0,-34.6482,-176.3268,2580131.0,6113788.0
1.5,2.2,0.68,1.0,6.0,6.0,300.0,-1200.0,-15.0,-34.7326,-176.1745,2593154.0,6102861.0
1.5,2.2,0.68,1.0,6.0,6.0,316.0,-1200.0,-15.0,-34.8119,-176.0308,2605410.0,6092576.0
1.5,2.2,0.68,1.0,6.0,6.0,333.0,-1200.0,-15.0,-34.8959,-175.8779,2618433.0,6081649.0
1.5,2.2,0.68,1.0,6.0,6.0,350.0,-1200.0,-15.0,-34.9796,-175.7247,2631456.0,6070721.0
1.5,2.2,0.68,1.0,6.0,6.0,1200.0,-1200.0,-15.0,-38.8332,-167.6969,3282594.0,5524352.0
1.5,2.2,0.68,1.0,6.0,6.0,-1200.0,-703.0,-15.0,-29.8618,168.0811,1124622.0,6686318.0
1.5,2.2,0.68,1.0,6.0,6.0,-540.0,-703.0,-15.0,-33.7808,173.3263,1630211.0,6262078.0
1.5,2.2,0.68,1.0,6.0,6.0,-400.0,-703.0,-15.0,-34.5837,174.4987,1737457.0,6172088.0
1.5,2.2,0.68,1.0,6.0,6.0,-300.0,-703.0,-15.0,-35.1497,175.3498,1814062.0,6107809.0
1.5,2.2,0.68,1.0,6.0,6.0,-200.0,-703.0,-15.0,-35.7092,176.2126,1890666.0,6043531.0
1.5,2.2,0.68,1.0,6.0,6.0,-151.0,-703.0,-15.0,-35.9809,176.6398,1928202.0,6012034.0
1.5,2.2,0.68,1.0,6.0,6.0,-136.0,-703.0,-15.0,-36.0637,176.7711,1939693.0,6002392.0
1.5,2.2,0.68,1.0,6.0,6.0,-121.0,-703.0,-15.0,-36.1463,176.9027,1951184.0,5992750.0
1.5,2.2,0.68,1.0,6.0,6.0,-106.0,-703.0,-15.0,-36.2288,177.0346,1962674.0,5983108.0
1.5,2.2,0.68,1.0,6.0,6.0,-96.0,-703.0,-15.0,-36.2837,177.1226,1970335.0,5976681.0
1.5,2.2,0.68,1.0,6.0,6.0,-86.0,-703.0,-15.0,-36.3386,177.2108,1977995.0,5970253.0
1.5,2.2,0.68,1.0,6.0,6.0,-76.0,-703.0,-15.0,-36.3933,177.2991,1985656.0,5963825.0
1.5,2.2,0.68,1.0,6.0,6.0,-68.0,-703.0,-15.0,-36.4371,177.3698,1991784.0,5958683.0
1.5,2.2,0.68,1.0,6.0,6.0,-61.0,-703.0,-15.0,-36.4753,177.4318,1997146.0,5954183.0
1.5,2.2,0.68,1.0,6.0,6.0,-53.0,-703.0,-15.0,-36.519,177.5027,2003275.0,5949041.0
1.5,2.2,0.68,1.0,6.0,6.0,-46.0,-703.0,-15.0,-36.5571,177.5648,2008637.0,5944541.0
1.5,2.2,0.68,1.0,6.0,6.0,-38.0,-703.0,-15.0,-36.6007,177.6358,2014765.0,5939399.0
1.5,2.2,0.68,1.0,6.0,6.0,-31.0,-703.0,-15.0,-36.6388,177.698,2020128.0,5934899.0
1.5,2.2,0.68,1.0,6.0,6.0,-23.0,-703.0,-15.0,-36.6823,177.7692,2026256.0,5929757.0
1.5,2.2,0.68,1.0,6.0,6.0,-16.0,-703.0,-15.0,-36.7203,177.8315,2031618.0,5925258.0
1.5,2.2,0.68,1.0,6.0,6.0,-8.0,-703.0,-15.0,-36.7637,177.9028,2037747.0,5920115.0
1.5,2.2,0.68,1.0,6.0,6.0,-1.0,-703.0,-15.0,-36.8016,177.9653,2043109.0,5915616.0
1.5,2.2,0.68,1.0,6.0,6.0,7.0,-703.0,-15.0,-36.8449,178.0368,2049237.0,5910473.0
1.5,2.2,0.68,1.0,6.0,6.0,14.0,-703.0,-15.0,-36.8827,178.0993,2054600.0,5905974.0
1.5,2.2,0.68,1.0,6.0,6.0,22.0,-703.0,-15.0,-36.926,178.171,2060728.0,5900832.0
1.5,2.2,0.68,1.0,6.0,6.0,29.0,-703.0,-15.0,-36.9637,178.2337,2066090.0,5896332.0
1.5,2.2,0.68,1.0,6.0,6.0,37.0,-703.0,-15.0,-37.0068,178.3055,2072219.0,5891190.0
1.5,2.2,0.68,1.0,6.0,6.0,41.0,-703.0,-15.0,-37.0284,178.3414,2075283.0,5888619.0
1.5,2.2,0.68,1.0,6.0,6.0,44.0,-703.0,-15.0,-37.0445,178.3683,2077581.0,5886690.0
1.5,2.2,0.68,1.0,6.0,6.0,48.0,-703.0,-15.0,-37.066,178.4043,2080645.0,5884119.0
1.5,2.2,0.68,1.0,6.0,6.0,51.0,-703.0,-15.0,-37.0822,178.4312,2082943.0,5882191.0
1.5,2.2,0.68,1.0,6.0,6.0,55.0,-703.0,-15.0,-37.1037,178.4672,2086007.0,5879620.0
1.5,2.2,0.68,1.0,6.0,6.0,58.0,-703.0,-15.0,-37.1198,178.4942,2088306.0,5877691.0
1.5,2.2,0.68,1.0,6.0,6.0,62.0,-703.0,-15.0,-37.1412,178.5302,2091370.0,5875120.0
1.5,2.2,0.68,1.0,6.0,6.0,65.0,-703.0,-15.0,-37.1573,178.5573,2093668.0,5873192.0
1.5,2.2,0.68,1.0,6.0,6.0,69.0,-703.0,-15.0,-37.1788,178.5933,2096732.0,5870621.0
1.5,2.2,0.68,1.0,6.0,6.0,72.0,-703.0,-15.0,-37.1949,178.6203,2099030.0,5868692.0
1.5,2.2,0.68,1.0,5.94,6.0,76.0,-703.0,-15.0,-37.2163,178.6564,2102094.0,5866121.0
1.5,2.2,0.68,1.0,5.87,6.0,79.0,-703.0,-15.0,-37.2324,178.6835,2104392.0,5864193.0
1.5,2.2,0.68,1.0,5.79,6.0,83.0,-703.0,-15.0,-37.2538,178.7196,2107457.0,5861622.0
1.5,2.2,0.68,1.0,5.76,6.0,86.0,-703.0,-15.0,-37.2698,178.7467,2109755.0,5859693.0
1.5,2.2,0.68,1.0,5.75,6.0,90.0,-703.0,-15.0,-37.2912,178.7829,2112819.0,5857122.0
1.5,2.2,0.68,1.0,5.75,6.0,93.0,-703.0,-15.0,-37.3072,178.81,2115117.0,5855194.0
1.5,2.2,0.68,1.0,5.74,6.0,97.0,-703.0,-15.0,-37.3286,178.8462,2118181.0,5852623.0
1.5,2.2,0.68,1.0,5.73,6.0,100.0,-703.0,-15.0,-37.3446,178.8734,2120479.0,5850694.0
1.5,2.2,0.68,1.0,5.73,6.0,104.0,-703.0,-15.0,-37.3659,178.9096,2123544.0,5848123.0
1.5,2.2,0.68,1.0,5.75,6.0,107.0,-703.0,-15.0,-37.3819,178.9368,2125842.0,5846195.0
1.5,2.2,0.68,1.0,5.85,6.0,111.0,-703.0,-15.0,-37.4032,178.973,2128906.0,5843624.0
1.5,2.2,0.68,1.0,5.92,6.0,114.0,-703.0,-15.0,-37.4192,179.0002,2131204.0,5841695.0
1.5,2.2,0.68,1.0,5.98,6.0,118.0,-703.0,-15.0,-37.4405,179.0365,2134268.0,5839124.0
1.5,2.2,0.68,1.0,5.94,6.0,121.0,-703.0,-15.0,-37.4565,179.0638,2136566.0,5837196.0
1.5,2.2,0.68,1.0,5.83,6.0,127.0,-703.0,-15.0,-37.4884,179.1183,2141163.0,5833339.0
1.5,2.2,0.68,1.0,5.77,6.0,133.0,-703.0,-15.0,-37.5202,179.1728,2145759.0,5829482.0
1.5,2.2,0.68,1.0,5.73,6.0,139.0,-703.0,-15.0,-37.5521,179.2274,2150355.0,5825626.0
1.5,2.2,0.68,1.0,5.71,6.0,145.0,-703.0,-15.0,-37.5839,179.282,2154951.0,5821769.0
1.5,2.2,0.68,1.0,5.77,6.0,152.0,-703.0,-15.0,-37.621,179.3458,2160314.0,5817269.0
1.5,2.2,0.68,1.0,5.86,6.0,161.0,-703.0,-15.0,-37.6686,179.4279,2167208.0,5811484.0
1.5,2.2,0.68,1.0,5.96,6.0,173.0,-703.0,-15.0,-37.732,179.5376,2176401.0,5803771.0
1.5,2.2,0.68,1.0,6.0,6.0,187.0,-703.0,-15.0,-37.8058,179.6657,2187125.0,5794772.0
1.5,2.2,0.68,1.0,6.0,6.0,201.0,-703.0,-15.0,-37.8794,179.7941,2197850.0,5785773.0
1.5,2.2,0.68,1.0,6.0,6.0,216.0,-703.0,-15.0,-37.9581,179.932,2209341.0,5776131.0
1.5,2.2,0.68,1.0,6.0,6.0,233.0,-703.0,-15.0,-38.0471,-179.9114,2222363.0,5765203.0
1.5,2.2,0.68,1.0,6.0,6.0,250.0,-703.0,-15.0,-38.1358,-179.7545,2235386.0,5754276.0
1.5,2.2,0.68,1.0,6.0,6.0,266.0,-703.0,-15.0,-38.2191,-179.6065,2247643.0,5743992.0
1.5,2.2,0.68,1.0,6.0,6.0,283.0,-703.0,-15.0,-38.3074,-179.4488,2260666.0,5733064.0
1.5,2.2,0.68,1.0,6.0,6.0,300.0,-703.0,-15.0,-38.3954,-179.2908,2273688.0,5722137.0
1.5,2.2,0.68,1.0,6.0,6.0,316.0,-703.0,-15.0,-38.478,-179.1417,2285945.0,5711852.0
1.5,2.2,0.68,1.0,6.0,6.0,333.0,-703.0,-15.0,-38.5655,-178.983,2298968.0,5700925.0
1.5,2.2,0.68,1.0,6.0,6.0,350.0,-703.0,-15.0,-38.6527,-178.8239,2311990.0,5689997.0
1.5,2.2,0.68,1.0,6.0,6.0,1200.0,-703.0,-15.0,-42.6664,-170.3902,2963128.0,5143628.0
1.5,2.2,0.68,1.0,6.0,6.0,-1200.0,-653.0,-15.0,-30.1932,167.7314,1092482.0,6648016.0
1.5,2.2,0.68,1.0,6.0,6.0,-540.0,-653.0,-15.0,-34.1267,172.979,1598072.0,6223776.0
1.5,2.2,0.68,1.0,6.0,6.0,-400.0,-653.0,-15.0,-34.9328,174.1531,1705318.0,6133786.0
1.5,2.2,0.68,1.0,6.0,6.0,-300.0,-653.0,-15.0,-35.5012,175.0057,1781922.0,6069507.0
2.77,1.81,1.53,2.24,6.0,6.0,-200.0,-653.0,-15.0,-36.0631,175.8703,1858527.0,6005228.0
1.5,2.2,0.68,1.0,6.0,6.0,-151.0,-653.0,-15.0,-36.3359,176.2983,1896063.0,5973732.0
1.5,2.2,0.68,1.0,6.0,6.0,-136.0,-653.0,-15.0,-36.4191,176.4299,1907554.0,5964090.0
1.5,2.2,0.68,1.0,6.0,6.0,-121.0,-653.0,-15.0,-36.5021,176.5618,1919044.0,5954448.0
1.5,2.2,0.68,1.0,6.0,6.0,-106.0,-653.0,-15.0,-36.5849,176.694,1930535.0,5944806.0
1.5,2.2,0.68,1.0,6.0,6.0,-96.0,-653.0,-15.0,-36.6401,176.7823,1938195.0,5938378.0
1.5,2.2,0.68,1.0,6.0,6.0,-86.0,-653.0,-15.0,-36.6951,176.8707,1945856.0,5931951.0
1.5,2.2,0.68,1.0,6.0,6.0,-76.0,-653.0,-15.0,-36.7501,176.9592,1953516.0,5925523.0
1.5,2.2,0.68,1.0,6.0,6.0,-68.0,-653.0,-15.0,-36.7941,177.0301,1959645.0,5920380.0
1.5,2.2,0.68,1.0,6.0,6.0,-61.0,-653.0,-15.0,-36.8325,177.0922,1965007.0,5915881.0
1.5,2.2,0.68,1.0,6.0,6.0,-53.0,-653.0,-15.0,-36.8763,177.1633,1971135.0,5910739.0
1.5,2.2,0.68,1.0,6.0,6.0,-46.0,-653.0,-15.0,-36.9147,177.2255,1976498.0,5906239.0
1.5,2.2,0.68,1.0,6.0,6.0,-38.0,-653.0,-15.0,-36.9584,177.2967,1982626.0,5901097.0
1.5,2.2,0.68,1.0,6.0,6.0,-31.0,-653.0,-15.0,-36.9967,177.3591,1987988.0,5896597.0
1.5,2.2,0.68,1.0,6.0,6.0,-23.0,-653.0,-15.0,-37.0404,177.4305,1994117.0,5891455.0
1.5,2.2,0.68,1.0,6.0,6.0,-16.0,-653.0,-15.0,-37.0785,177.493,1999479.0,5886955.0
1.5,2.2,0.68,1.0,6.0,6.0,-8.0,-653.0,-15.0,-37.1221,177.5645,2005607.0,5881813.0
1.5,2.2,0.68,1.0,6.0,6.0,-1.0,-653.0,-15.0,-37.1602,177.6271,2010970.0,5877314.0
1.5,2.2,0.68,1.0,6.0,6.0,7.0,-653.0,-15.0,-37.2037,177.6987,2017098.0,5872171.0
1.5,2.2,0.68,1.0,6.0,6.0,14.0,-653.0,-15.0,-37.2417,177.7615,2022460.0,5867672.0
1.5,2.2,0.68,1.0,6.0,6.0,22.0,-653.0,-15.0,-37.2851,177.8333,2028589.0,5862529.0
1.5,2.2,0.68,1.0,6.0,6.0,29.0,-653.0,-15.0,-37.3231,177.8962,2033951.0,5858030.0
1.5,2.2,0.68,1.0,6.0,6.0,37.0,-653.0,-15.0,-37.3664,177.9682,2040079.0,5852888.0
1.5,2.2,0.68,1.0,5.79,6.0,41.0,-653.0,-15.0,-37.388,178.0042,2043143.0,5850316.0
1.5,2.2,0.68,1.0,5.62,6.0,44.0,-653.0,-15.0,-37.4042,178.0312,2045442.0,5848388.0
1.5,2.2,0.68,1.0,5.59,5.87,48.0,-653.0,-15.0,-37.4258,178.0672,2048506.0,5845817.0
2.8,1.77,1.59,2.25,5.56,5.77,51.0,-653.0,-15.0,-37.442,178.0943,2050804.0,5843889.0
2.73,1.76,1.55,2.24,5.52,5.89,55.0,-653.0,-15.0,-37.4636,178.1304,2053868.0,5841317.0
2.68,1.76,1.52,2.23,5.48,5.98,58.0,-653.0,-15.0,-37.4798,178.1575,2056166.0,5839389.0
2.52,1.76,1.43,2.19,5.44,6.0,62.0,-653.0,-15.0,-37.5014,178.1936,2059230.0,5836818.0
2.37,1.76,1.35,2.16,5.41,6.0,65.0,-653.0,-15.0,-37.5175,178.2207,2061528.0,5834890.0
2.22,1.76,1.26,2.12,5.38,5.77,69.0,-653.0,-15.0,-37.5391,178.2568,2064593.0,5832318.0
2.13,1.76,1.21,2.1,5.36,5.55,72.0,-653.0,-15.0,-37.5552,178.284,2066891.0,5830390.0
2.2,1.76,1.25,2.12,5.36,5.52,76.0,-653.0,-15.0,-37.5768,178.3201,2069955.0,5827819.0
2.32,1.76,1.32,2.15,5.35,5.56,79.0,-653.0,-15.0,-37.5929,178.3473,2072253.0,5825891.0
2.47,1.76,1.41,2.18,5.35,5.62,83.0,-653.0,-15.0,-37.6144,178.3835,2075317.0,5823319.0
2.46,1.76,1.39,2.18,5.37,5.65,86.0,-653.0,-15.0,-37.6305,178.4107,2077615.0,5821391.0
2.25,1.77,1.27,2.13,5.42,5.66,90.0,-653.0,-15.0,-37.652,178.447,2080680.0,5818820.0
2.24,1.78,1.26,2.13,5.46,5.67,93.0,-653.0,-15.0,-37.6681,178.4742,2082978.0,5816892.0
2.34,1.78,1.32,2.15,5.49,5.7,97.0,-653.0,-15.0,-37.6896,178.5105,2086042.0,5814320.0
2.46,1.78,1.38,2.18,5.5,5.73,100.0,-653.0,-15.0,-37.7056,178.5377,2088340.0,5812392.0
2.42,1.77,1.36,2.17,5.51,5.77,104.0,-653.0,-15.0,-37.7271,178.574,2091404.0,5809821.0
2.43,1.77,1.37,2.17,5.53,5.8,107.0,-653.0,-15.0,-37.7431,178.6013,2093702.0,5807893.0
2.43,1.75,1.38,2.17,5.58,5.88,111.0,-653.0,-15.0,-37.7646,178.6376,2096766.0,5805321.0
2.33,1.75,1.33,2.15,5.62,5.94,114.0,-653.0,-15.0,-37.7806,178.6649,2099065.0,5803393.0
2.16,1.74,1.24,2.11,5.66,6.0,118.0,-653.0,-15.0,-37.802,178.7013,2102129.0,5800822.0
2.03,1.74,1.17,2.08,5.64,6.0,121.0,-653.0,-15.0,-37.818,178.7287,2104427.0,5798893.0
1.5,2.2,0.68,1.0,5.61,6.0,127.0,-653.0,-15.0,-37.8501,178.7833,2109023.0,5795037.0
1.5,2.2,0.68,1.0,5.63,6.0,133.0,-653.0,-15.0,-37.8821,178.838,2113619.0,5791180.0
1.5,2.2,0.68,1.0,5.68,6.0,139.0,-653.0,-15.0,-37.9141,178.8928,2118216.0,5787323.0
1.5,2.2,0.68,1.0,5.73,6.0,145.0,-653.0,-15.0,-37.946,178.9476,2122812.0,5783467.0
1.5,2.2,0.68,1.0,5.71,6.0,152.0,-653.0,-15.0,-37.9833,179.0116,2128174.0,5778967.0
1.5,2.2,0.68,1.0,5.73,6.0,161.0,-653.0,-15.0,-38.0311,179.0939,2135069.0,5773182.0
1.5,2.2,0.68,1.0,5.81,6.0,173.0,-653.0,-15.0,-38.0948,179.2039,2144261.0,5765469.0
1.5,2.2,0.68,1.0,5.9,6.0,187.0,-653.0,-15.0,-38.1689,179.3325,2154986.0,5756470.0
1.5,2.2,0.68,1.0,5.98,6.0,201.0,-653.0,-15.0,-38.2429,179.4613,2165710.0,5747470.0
1.5,2.2,0.68,1.0,6.0,6.0,216.0,-653.0,-15.0,-38.3219,179.5996,2177201.0,5737829.0
1.5,2.2,0.68,1.0,6.0,6.0,233.0,-653.0,-15.0,-38.4113,179.7567,2190224.0,5726901.0
1.5,2.2,0.68,1.0,6.0,6.0,250.0,-653.0,-15.0,-38.5005,179.9141,2203247.0,5715974.0
1.5,2.2,0.68,1.0,6.0,6.0,266.0,-653.0,-15.0,-38.5841,-179.9373,2215503.0,5705689.0
1.5,2.2,0.68,1.0,6.0,6.0,283.0,-653.0,-15.0,-38.6728,-179.7791,2228526.0,5694762.0
1.5,2.2,0.68,1.0,6.0,6.0,300.0,-653.0,-15.0,-38.7612,-179.6206,2241549.0,5683835.0
1.5,2.2,0.68,1.0,6.0,6.0,316.0,-653.0,-15.0,-38.8442,-179.471,2253806.0,5673550.0
1.5,2.2,0.68,1.0,6.0,6.0,333.0,-653.0,-15.0,-38.9321,-179.3117,2266828.0,5662623.0
1.5,2.2,0.68,1.0,6.0,6.0,350.0,-653.0,-15.0,-39.0198,-179.152,2279851.0,5651695.0
1.5,2.2,0.68,1.0,6.0,6.0,1200.0,-653.0,-15.0,-43.0518,-170.677,2930989.0,5105326.0
1.5,2.22,0.68,1.93,6.0,6.0,-1200.0,-632.0,-15.0,-30.332,167.5839,1078984.0,6631929.0
3.23,1.76,1.83,2.33,6.0,6.0,-540.0,-632.0,-15.0,-34.2717,172.8324,1584573.0,6207689.0
3.52,1.76,2.0,2.38,6.0,6.0,-400.0,-632.0,-15.0,-35.0792,174.0071,1691819.0,6117699.0
3.14,1.8,1.75,2.32,6.0,6.0,-300.0,-632.0,-15.0,-35.6486,174.8603,1768424.0,6053420.0
2.7,1.81,1.49,2.23,6.0,6.0,-200.0,-632.0,-15.0,-36.2115,175.7256,1845028.0,5989141.0
1.5,2.2,0.68,1.0,6.0,6.0,-151.0,-632.0,-15.0,-36.4848,176.154,1882564.0,5957645.0
1.5,2.2,0.68,1.0,6.0,6.0,-136.0,-632.0,-15.0,-36.5681,176.2857,1894055.0,5948003.0
1.5,2.2,0.68,1.0,6.0,6.0,-121.0,-632.0,-15.0,-36.6512,176.4178,1905546.0,5938361.0
1.5,2.2,0.68,1.0,6.0,6.0,-106.0,-632.0,-15.0,-36.7343,176.5501,1917036.0,5928719.0
1.5,2.2,0.68,1.0,6.0,6.0,-96.0,-632.0,-15.0,-36.7895,176.6384,1924697.0,5922291.0
1.5,2.2,0.68,1.0,6.0,6.0,-86.0,-632.0,-15.0,-36.8447,176.7269,1932357.0,5915864.0
1.5,2.2,0.68,1.0,6.0,6.0,-76.0,-632.0,-15.0,-36.8998,176.8155,1940018.0,5909436.0
1.5,2.2,0.68,1.0,6.0,6.0,-68.0,-632.0,-15.0,-36.9438,176.8865,1946146.0,5904293.0
